Disease,symptoms,Description,precautions,medications,procedures,specialist
(vertigo) paroymsal  positional vertigo,"vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness, vomiting,  headache,  nausea,  spinning_movements,  unsteadiness, vomiting,  headache,  spinning_movements,  loss_of_balance,  unsteadiness, headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness, vomiting,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness, vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance, vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness",Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"lie down, avoid sudden change in body, avoid abrupt head movment, relax",,,
acne,"skin_rash,  pus_filled_pimples,  blackheads, skin_rash,  pus_filled_pimples,  blackheads,  scurring, skin_rash,  blackheads,  scurring, skin_rash,  pus_filled_pimples,  scurring, pus_filled_pimples,  blackheads,  scurring","Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",,,
aids,"patches_in_throat,  high_fever,  extra_marital_contacts, muscle_wasting,  patches_in_throat,  high_fever, muscle_wasting,  high_fever,  extra_marital_contacts, muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts, muscle_wasting,  patches_in_throat,  extra_marital_contacts","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up","Antiretroviral therapy (ART) | Combination of NRTIs, NNRTIs, and PIs | Prophylactic medications for opportunistic infections",CD4 count monitoring | Viral load testing | Regular health checkups,Infectious Disease Specialist
alcoholic hepatitis,"vomiting,  yellowish_skin,  abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, vomiting,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption, vomiting,  yellowish_skin,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  history_of_alcohol_consumption,  fluid_overload, vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  fluid_overload","Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol","stop alcohol consumption, consult doctor, medication, follow up",,,
allergy,"shivering,  chills,  watering_from_eyes, continuous_sneezing,  shivering,  watering_from_eyes, continuous_sneezing,  shivering,  chills, continuous_sneezing,  chills,  watering_from_eyes, continuous_sneezing,  shivering,  chills,  watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",,,
arthritis,"muscle_weakness,  stiff_neck,  swelling_joints,  painful_walking, muscle_weakness,  swelling_joints,  movement_stiffness,  painful_walking, muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness, muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking, muscle_weakness,  stiff_neck,  movement_stiffness,  painful_walking, stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","exercise, use hot and cold therapy, try acupuncture, massage","NSAIDs (e.g., Ibuprofen 400-800mg three times daily) | DMARDs (e.g., Methotrexate 7.5-25mg weekly) | Corticosteroids if needed",Joint X-rays | Blood tests for inflammation | Joint aspiration if needed,Rheumatologist
bronchial asthma,"fatigue,  cough,  breathlessness,  family_history,  mucoid_sputum, fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum, cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum, fatigue,  cough,  high_fever,  family_history,  mucoid_sputum, fatigue,  cough,  high_fever,  breathlessness,  family_history, fatigue,  cough,  high_fever,  breathlessness,  mucoid_sputum, fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help",,,
cervical spondylosis,"weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance, back_pain,  weakness_in_limbs,  neck_pain,  dizziness, back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance, back_pain,  weakness_in_limbs,  dizziness,  loss_of_balance, back_pain,  neck_pain,  dizziness,  loss_of_balance, back_pain,  weakness_in_limbs,  neck_pain,  loss_of_balance","Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor","NSAIDs (e.g., Ibuprofen 400-800mg three times daily) | Muscle relaxants (e.g., Cyclobenzaprine 5-10mg three times daily) | Physical therapy",X-ray of cervical spine | MRI if needed | Nerve conduction studies,Orthopedic Surgeon or Neurologist
chicken pox,"itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise,  red_spots_over_body, itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","use neem in bathing , consume neem leaves, take vaccine, avoid public places","Antiviral (e.g., Acyclovir 800mg five times daily) | Antihistamines for itching | Calamine lotion",Clinical diagnosis | Blood tests if needed | Viral culture in severe cases,Primary Care Physician or Pediatrician
chronic cholestasis,"vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes, itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain, itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes, itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy","Ursodeoxycholic acid 13-15mg/kg daily | Cholestyramine 4g 1-6 times daily | Vitamin supplements (A, D, E, K)",Liver function tests | Ultrasound of liver | ERCP if needed,Hepatologist
