Disease,medications,procedures,specialist
(vertigo) paroymsal positional vertigo,"Meclizine 25-50mg as needed for acute episodes | Diazepam 2-5mg as needed for severe cases | Betahistine 8-16mg three times daily for chronic cases","Dix-Hallpike maneuver for diagnosis | Epley maneuver for treatment | Vestibular rehabilitation therapy | Balance testing","Otolaryngologist (ENT) specializing in vestibular disorders"
hypertension,"ACE inhibitors (e.g., Lisinopril 10-40mg daily) | Calcium channel blockers (e.g., Amlodipine 5-10mg daily) | Diuretics (e.g., Hydrochlorothiazide 12.5-25mg daily)","Regular blood pressure monitoring | Lifestyle modification assessment | Cardiac stress test if indicated","Cardiologist for severe cases, Primary Care Physician for mild cases"
diabetes,"Metformin 500-2000mg daily | Insulin therapy if needed (dosage varies) | SGLT2 inhibitors (e.g., Empagliflozin 10-25mg daily)","Regular blood glucose monitoring | HbA1c testing every 3-6 months | Diabetic foot examination","Endocrinologist for type 1 or complex cases, Primary Care Physician for type 2"
migraine,"Triptans (e.g., Sumatriptan 50-100mg as needed) | NSAIDs (e.g., Ibuprofen 400-800mg as needed) | Preventive medications (e.g., Propranolol 40-160mg daily)","Trigger identification and management | Lifestyle modification | Stress management techniques","Neurologist specializing in headache disorders"
asthma,"Inhaled corticosteroids (e.g., Fluticasone 100-500mcg twice daily) | Short-acting beta agonists (e.g., Albuterol 2 puffs as needed) | Long-acting beta agonists (e.g., Salmeterol 50mcg twice daily)","Spirometry testing | Peak flow monitoring | Allergy testing if indicated","Pulmonologist or Allergist"
gastroenteritis,"Oral rehydration solutions | Antiemetics (e.g., Ondansetron 4-8mg as needed) | Antidiarrheals (e.g., Loperamide 2-4mg as needed)","Stool culture if severe | Electrolyte monitoring | IV fluids if dehydrated","Gastroenterologist for severe cases, Primary Care Physician for mild cases"
jaundice,"Ursodeoxycholic acid 10-15mg/kg daily | Vitamin K if needed | Antiviral medications if viral hepatitis","Liver function tests | Ultrasound of liver | Liver biopsy if indicated","Hepatologist or Gastroenterologist"
typhoid,"Ceftriaxone 2g IV daily | Azithromycin 500mg daily | Ciprofloxacin 500mg twice daily","Blood culture | Widal test | Stool culture","Infectious Disease Specialist"
dengue,"Acetaminophen 500-1000mg every 4-6 hours | IV fluids | Platelet transfusion if needed","Daily blood counts | Platelet monitoring | Fluid balance monitoring","Infectious Disease Specialist or Internal Medicine Specialist"
malaria,"Artemisinin-based combination therapy | Chloroquine 600mg base, then 300mg base at 6, 24, and 48 hours | Primaquine 15mg daily for 14 days","Blood smear examination | Rapid diagnostic test | Complete blood count","Infectious Disease Specialist"
